"YEAR","MONTH","DAY","HOUR","MIN","TEMP"
2014,12,1,23,0,2.195
2014,12,2,1,0,2.195
2014,12,2,3,0,2.088
2014,12,2,5,0,2.088
2014,12,2,7,0,2.088
2014,12,2,9,0,2.088
2014,12,2,11,0,2.088
2014,12,2,13,0,2.088
2014,12,2,15,0,2.088
2014,12,2,17,0,2.088
2014,12,2,19,0,2.088
2014,12,2,21,0,2.088
2014,12,2,23,0,2.088
2014,12,3,1,0,2.088
2014,12,3,3,0,2.088
2014,12,3,5,0,2.088
2014,12,3,7,0,2.088
2014,12,3,9,0,2.088
2014,12,3,11,0,2.088
2014,12,3,13,0,2.088
2014,12,3,15,0,2.088
2014,12,3,17,0,2.088
2014,12,3,19,0,2.088
2014,12,3,21,0,2.088
2014,12,3,23,0,2.088
2014,12,4,1,0,2.088
2014,12,4,3,0,2.088
2014,12,4,5,0,1.98
2014,12,4,7,0,1.98
2014,12,4,9,0,1.872
2014,12,4,11,0,1.872
2014,12,4,13,0,1.872
2014,12,4,15,0,1.872
2014,12,4,17,0,1.872
2014,12,4,19,0,1.872
2014,12,4,21,0,1.872
2014,12,4,23,0,1.872
2014,12,5,1,0,1.872
2014,12,5,3,0,1.872
2014,12,5,5,0,1.872
2014,12,5,7,0,1.872
2014,12,5,9,0,1.872
2014,12,5,11,0,1.872
2014,12,5,13,0,1.872
2014,12,5,15,0,1.98
2014,12,5,17,0,1.98
2014,12,5,19,0,1.98
2014,12,5,21,0,1.98
2014,12,5,23,0,2.088
2014,12,6,1,0,2.195
2014,12,6,3,0,2.303
2014,12,6,5,0,2.303
2014,12,6,7,0,2.41
2014,12,6,9,0,2.41
